,activity,fatal_(y/n)
436,fishing,no
437,swimming,no
438,surfing,no
439,fishing,no
440,swimming,yes
441,swimming,no
442,,no
443,fishing,no
444,fishing,no
445,,no
446,,no
447,swimming,yes
448,surfing,yes
449,surfing,no
450,surfing,no
451,,no
452,fishing,no
453,surfing,no
454,,no
455,fishing,no
456,surfing,no
457,fishing,no
458,,no
459,swimming,no
460,swimming,no
461,surfing,no
462,,no
463,surfing,no
464,fishing,yes
465,,no
466,swimming,no
467,surfing,no
468,fishing,no
469,swimming,no
470,fishing,yes
471,fishing,no
472,surfing,no
473,fishing,yes
474,fishing,no
475,,no
476,surfing,no
477,swimming,no
478,surfing,no
479,surfing,no
480,surfing,no
481,surfing,no
482,,no
483,,no
484,,no
485,surfing,no
486,surfing,no
487,,no
488,surfing,no
489,,no
490,surfing,no
491,fishing,no
492,surfing,no
493,,no
494,,no
495,surfing,no
496,surfing,no
497,surfing,no
498,fishing,no
499,surfing,no
500,swimming,yes
501,fishing,no
502,,no
503,fishing,no
504,,no
505,surfing,no
506,surfing,no
507,,no
508,fishing,no
509,swimming,no
510,surfing,no
511,,no
512,fishing,no
513,,no
514,fishing,no
515,,no
516,,no
517,fishing,no
518,swimming,no
519,swimming,no
520,,no
521,swimming,no
522,surfing,no
523,,no
524,surfing,no
525,,no
526,swimming,no
527,surfing,no
528,,no
529,,no
530,swimming,no
531,swimming,no
532,swimming,no
533,surfing,no
534,surfing,no
535,swimming,no
536,surfing,no
537,surfing,no
538,,no
539,fishing,no
540,surfing,no
541,,no
542,,no
543,fishing,no
544,,no
545,,no
546,surfing,no
547,,no
548,swimming,no
549,surfing,no
550,,no
551,,no
552,swimming,no
553,,no
554,,no
555,surfing,no
556,,no
557,surfing,no
558,swimming,no
559,swimming,no
560,swimming,no
561,surfing,no
562,fishing,no
563,swimming,no
564,,no
565,,no
566,fishing,no
567,surfing,no
568,surfing,no
569,swimming,yes
570,swimming,no
571,swimming,yes
572,surfing,no
573,surfing,no
574,surfing,no
575,surfing,no
576,,no
577,swimming,no
578,swimming,no
579,surfing,no
580,surfing,no
581,boat,no
582,swimming,yes
583,fishing,no
584,surfing,no
585,fishing,no
586,fishing,no
587,,no
588,swimming,no
589,,no
590,swimming,no
591,surfing,no
592,fishing,no
593,,no
594,surfing,no
595,surfing,no
596,fishing,yes
597,,yes
598,swimming,no
599,surfing,yes
600,surfing,no
601,surfing,no
602,fishing,no
603,,no
604,surfing,no
605,,no
606,swimming,no
607,,no
608,swimming,no
609,surfing,no
610,swimming,no
611,surfing,no
612,,no
613,swimming,yes
614,swimming,no
615,surfing,no
616,,no
617,surfing,no
618,swimming,no
619,,no
620,swimming,no
621,surfing,no
622,swimming,no
623,surfing,no
624,,unknown
625,surfing,no
626,,no
627,swimming,no
628,,no
629,,no
630,,no
631,fishing,no
632,swimming,no
633,swimming,no
634,fishing,no
635,,no
636,,no
637,surfing,no
638,surfing,no
639,swimming,yes
640,,no
641,surfing,no
642,,no
643,fishing,no
644,swimming,no
645,swimming,no
646,fishing,no
647,,no
648,surfing,no
649,fishing,no
650,swimming,no
651,swimming,yes
652,surfing,no
653,swimming,no
654,swimming,yes
655,swimming,yes
656,,no
657,swimming,no
658,surfing,no
659,fishing,no
660,,no
661,fishing,no
662,swimming,no
663,swimming,no
664,swimming,no
665,swimming,no
666,surfing,no
667,surfing,no
668,,no
669,fishing,no
670,surfing,no
671,swimming,no
672,swimming,no
673,,yes
674,fishing,no
675,surfing,no
676,surfing,no
677,,yes
678,surfing,no
679,fishing,no
680,swimming,no
681,fishing,no
682,surfing,no
683,swimming,no
684,surfing,no
685,,yes
686,,no
687,swimming,no
688,,no
689,surfing,no
690,surfing,no
691,swimming,no
692,swimming,no
693,fishing,no
694,fishing,no
695,surfing,no
696,fishing,yes
697,fishing,no
698,swimming,no
699,swimming,no
700,swimming,yes
701,surfing,no
702,surfing,no
703,surfing,no
704,swimming,no
705,,no
706,fishing,no
707,surfing,no
708,,no
709,surfing,no
710,fishing,no
711,swimming,no
712,swimming,no
713,surfing,no
714,,no
715,swimming,yes
716,surfing,no
717,surfing,no
718,fishing,no
719,swimming,no
720,swimming,no
721,,no
722,swimming,yes
723,surfing,no
724,swimming,no
725,surfing,no
726,surfing,no
727,swimming,no
728,surfing,yes
729,,no
730,surfing,no
731,,no
732,,no
733,swimming,no
734,surfing,no
735,,no
736,surfing,no
737,surfing,no
738,surfing,no
739,swimming,no
740,surfing,no
741,surfing,no
742,swimming,no
743,surfing,no
744,surfing,no
745,surfing,no
746,,no
747,fishing,no
748,swimming,no
749,fishing,no
750,surfing,no
751,swimming,yes
752,swimming,no
753,fishing,no
754,swimming,no
755,surfing,no
756,fishing,no
757,surfing,no
758,surfing,no
759,surfing,no
760,surfing,no
761,,no
762,surfing,yes
763,swimming,no
764,surfing,no
765,surfing,yes
766,swimming,no
767,fishing,no
768,swimming,no
769,,no
770,surfing,no
771,swimming,no
772,swimming,no
773,surfing,no
774,,no
775,surfing,no
776,swimming,no
777,surfing,no
778,,no
779,,no
780,fishing,no
781,swimming,no
782,swimming,no
783,swimming,no
784,swimming,no
785,surfing,no
786,,unknown
787,surfing,no
788,surfing,no
789,,no
790,,no
791,swimming,no
792,surfing,no
793,fishing,no
794,fishing,no
795,fishing,no
796,swimming,no
797,,no
798,surfing,no
799,,yes
800,,no
801,surfing,no
802,,no
803,swimming,yes
804,surfing,no
805,fishing,no
806,surfing,no
807,surfing,no
808,surfing,no
809,surfing,no
810,surfing,no
811,swimming,no
812,,no
813,surfing,no
814,surfing,no
815,fishing,no
816,surfing,no
817,fishing,no
818,fishing,no
819,surfing,no
820,swimming,no
821,swimming,no
822,swimming,no
823,fishing,no
824,surfing,no
825,swimming,yes
826,surfing,no
827,surfing,no
828,fishing,no
829,,no
830,swimming,no
831,surfing,no
832,surfing,no
833,,no
834,fishing,no
835,surfing,no
836,surfing,no
837,surfing,no
838,surfing,no
839,fishing,no
840,surfing,no
841,surfing,no
842,swimming,no
843,,no
844,swimming,no
845,surfing,no
846,swimming,no
847,surfing,no
848,surfing,no
849,swimming,no
850,swimming,yes
851,surfing,no
852,swimming,no
853,surfing,no
854,surfing,no
855,swimming,yes
856,,no
857,fishing,no
858,,no
859,surfing,no
860,fishing,no
861,swimming,no
862,fishing,no
863,,no
864,,no
865,,yes
866,swimming,yes
867,surfing,no
868,surfing,no
869,surfing,no
870,surfing,no
871,,yes
872,surfing,no
873,surfing,no
874,swimming,no
875,fishing,no
876,,no
877,surfing,no
878,,no
879,surfing,yes
880,swimming,no
881,,no
882,,no
883,swimming,no
884,surfing,no
885,,no
886,swimming,yes
887,surfing,no
888,swimming,no
889,swimming,yes
890,swimming,no
891,,no
892,fishing,no
893,surfing,no
894,,no
895,,no
896,surfing,no
897,swimming,no
898,swimming,no
899,fishing,no
900,surfing,no
901,,no
902,swimming,no
903,surfing,no
904,swimming,no
905,surfing,no
906,surfing,no
907,,no
908,fishing,no
909,surfing,yes
910,,yes
911,fishing,no
912,swimming,no
913,fishing,no
