,activity,fatal_(y/n)
1779,swimming,no
1780,surfing,no
1781,swimming,no
1782,surfing,no
1783,surfing,no
1784,surfing,no
1785,surfing,no
1786,surfing,no
1787,,no
1788,surfing,no
1789,swimming,no
1790,surfing,no
1791,surfing,no
1792,surfing,no
1793,,no
1794,swimming,no
1795,,no
1796,swimming,no
1797,swimming,no
1798,swimming,yes
1799,,no
1800,surfing,no
1801,surfing,no
1802,swimming,no
1803,swimming,no
1804,swimming,no
1805,swimming,no
1806,swimming,yes
1807,surfing,yes
1808,swimming,no
1809,,no
1810,swimming,no
1811,swimming,no
1812,surfing,no
1813,,no
1814,fishing,no
1815,swimming,no
1816,swimming,yes
1817,surfing,no
1818,surfing,no
1819,surfing,no
1820,surfing,no
1821,surfing,no
1822,surfing,no
1823,surfing,no
1824,fishing,no
1825,swimming,no
1826,surfing,no
1827,surfing,no
1828,swimming,no
1829,,no
1830,surfing,no
1831,,no
1832,,no
1833,surfing,no
1834,swimming,no
1835,surfing,no
1836,surfing,no
1837,,no
1838,swimming,no
1839,,no
1840,surfing,no
1841,swimming,no
1842,surfing,no
1843,fishing,yes
1844,surfing,no
1845,,no
1846,surfing,no
1847,swimming,no
1848,,no
1849,,no
1850,,yes
1851,surfing,no
1852,surfing,no
1853,surfing,no
1854,swimming,no
1855,swimming,no
1856,surfing,no
1857,,no
1858,fishing,no
1859,surfing,no
1860,surfing,no
1861,,no
1862,fishing,no
1863,surfing,no
1864,fishing,no
1865,surfing,yes
1866,fishing,no
1867,surfing,no
1868,surfing,no
1869,swimming,no
1870,,no
1871,,no
1872,swimming,no
1873,,no
1874,,no
1875,swimming,yes
1876,swimming,no
1877,swimming,no
1878,surfing,no
1879,fishing,no
1880,fishing,yes
1881,surfing,no
1882,,yes
1883,,no
1884,surfing,no
1885,swimming,no
1886,fishing,no
1887,swimming,yes
1888,surfing,no
1889,swimming,no
1890,surfing,no
1891,surfing,no
1892,surfing,no
1893,surfing,no
1894,,no
1895,swimming,no
1896,surfing,no
1897,,no
1898,surfing,no
1899,surfing,no
1900,swimming,yes
1901,,no
1902,surfing,no
1903,swimming,no
1904,fishing,no
1905,,no
1906,swimming,no
1907,swimming,yes
1908,swimming,no
1909,,no
1910,swimming,yes
1911,fishing,no
1912,,no
1913,,no
1914,,no
1915,,no
1916,surfing,no
1917,surfing,no
1918,surfing,no
1919,surfing,no
1920,surfing,no
1921,surfing,no
1922,surfing,no
1923,surfing,no
1924,fishing,no
1925,boat,no
1926,,no
1927,swimming,no
1928,fishing,no
1929,,no
1930,,no
1931,,no
1932,fishing,no
1933,surfing,no
1934,,no
1935,surfing,no
1936,swimming,no
1937,,no
1938,,no
1939,swimming,no
1940,fishing,no
1941,,no
1942,,no
1943,,no
1944,swimming,no
1945,swimming,no
1946,fishing,no
1947,,no
1948,surfing,no
1949,surfing,no
1950,surfing,no
1951,fishing,yes
1952,,no
1953,surfing,no
1954,surfing,no
1955,,no
1956,surfing,no
1957,surfing,no
1958,,no
1959,surfing,no
1960,surfing,no
1961,surfing,no
1962,surfing,no
1963,surfing,no
1964,surfing,no
1965,swimming,no
1966,surfing,no
1967,,no
1968,surfing,no
1969,,no
1970,surfing,no
1971,,no
1972,swimming,yes
1973,,yes
1974,fishing,no
1975,,no
1976,surfing,no
1977,,no
1978,swimming,no
1979,fishing,no
1980,surfing,no
1981,,no
1982,swimming,no
1983,swimming,yes
1984,fishing,no
1985,swimming,no
1986,fishing,no
1987,surfing,yes
1988,swimming,no
1989,boat,no
1990,swimming,no
1991,,no
1992,swimming,no
1993,swimming,yes
1994,surfing,no
1995,fishing,no
1996,surfing,no
1997,swimming,no
1998,swimming,no
1999,surfing,no
2000,surfing,no
2001,surfing,no
2002,surfing,no
2003,surfing,no
2004,surfing,yes
2005,surfing,yes
2006,,no
2007,surfing,yes
2008,,no
2009,surfing,no
2010,surfing,no
2011,surfing,no
2012,swimming,no
2013,swimming,no
2014,swimming,yes
2015,,no
2016,surfing,no
2017,swimming,yes
2018,swimming,no
2019,,yes
2020,,no
2021,swimming,no
2022,surfing,no
2023,surfing,no
2024,,no
2025,swimming,no
2026,,no
2027,swimming,yes
2028,,no
2029,swimming,no
2030,surfing,no
2031,surfing,no
2032,surfing,no
2033,surfing,no
2034,surfing,no
2035,swimming,no
2036,,no
2037,swimming,no
2038,,no
2039,,no
2040,,no
2041,fishing,no
2042,,no
2043,,no
2044,swimming,yes
2045,,yes
2046,fishing,no
2047,,no
2048,boat,no
2049,surfing,no
2050,swimming,no
2051,swimming,no
2052,swimming,no
2053,swimming,yes
2054,,yes
2055,,no
2056,,no
2057,swimming,yes
2058,,no
2059,,no
2060,fishing,no
2061,swimming,no
2062,,no
2063,surfing,no
2064,fishing,yes
2065,surfing,no
2066,,no
2067,,no
2068,,no
2069,swimming,no
2070,fishing,no
2071,,no
2072,surfing,no
2073,,no
2074,surfing,no
2075,surfing,no
2076,,yes
2077,swimming,yes
2078,fishing,no
2079,surfing,no
2080,swimming,no
2081,swimming,no
2082,surfing,no
2083,swimming,no
2084,fishing,no
2085,surfing,no
2086,surfing,no
2087,swimming,no
2088,surfing,no
2089,surfing,no
2090,surfing,no
2091,swimming,no
2092,swimming,no
2093,,no
2094,surfing,no
2095,surfing,no
2096,surfing,no
2097,surfing,no
2098,fishing,no
2099,,no
2100,,no
2101,,no
2102,surfing,no
2103,,no
2104,surfing,no
2105,surfing,no
2106,surfing,no
2107,fishing,no
2108,surfing,no
2109,,no
2110,surfing,no
2111,fishing,no
2112,surfing,no
2113,swimming,no
2114,surfing,no
2115,,yes
2116,,no
2117,fishing,no
2118,surfing,no
2119,,no
2120,surfing,no
2121,swimming,no
2122,,no
2123,surfing,yes
2124,surfing,no
2125,swimming,no
2126,swimming,yes
2127,surfing,no
2128,swimming,no
2129,,no
2130,swimming,yes
2131,fishing,no
2132,fishing,no
2133,surfing,no
2134,swimming,no
2135,,no
2136,surfing,no
2137,surfing,no
2138,fishing,no
2139,,no
2140,boat,no
2141,fishing,no
2142,fishing,yes
2143,fishing,no
2144,surfing,no
2145,surfing,no
2146,,no
2147,surfing,no
2148,,no
2149,surfing,no
2150,swimming,yes
2151,surfing,no
2152,,no
2153,surfing,no
2154,fishing,no
2155,surfing,yes
2156,swimming,no
2157,surfing,no
2158,surfing,no
2159,surfing,no
2160,swimming,no
2161,,no
2162,surfing,no
2163,surfing,no
2164,fishing,no
2165,surfing,no
2166,fishing,no
2167,surfing,no
2168,fishing,no
2169,,no
2170,fishing,no
2171,fishing,no
2172,,no
2173,,no
2174,surfing,no
2175,fishing,no
2176,surfing,no
2177,surfing,no
2178,,no
2179,surfing,no
2180,surfing,no
2181,swimming,yes
2182,,yes
2183,surfing,no
2184,surfing,no
2185,surfing,no
2186,,no
2187,,no
2188,surfing,no
2189,swimming,no
2190,surfing,no
2191,,no
2192,,yes
2193,surfing,no
2194,swimming,no
2195,swimming,yes
2196,,no
2197,swimming,no
2198,swimming,no
2199,swimming,no
2200,swimming,no
2201,fishing,no
2202,surfing,no
2203,swimming,yes
2204,surfing,no
2205,surfing,no
2206,surfing,no
2207,surfing,yes
2208,swimming,yes
2209,swimming,no
2210,fishing,yes
2211,surfing,no
2212,,no
2213,swimming,no
2214,swimming,no
2215,swimming,no
2216,,no
2217,surfing,no
2218,surfing,no
2219,surfing,no
2220,surfing,no
2221,fishing,no
2222,swimming,no
2223,swimming,yes
2224,surfing,no
2225,surfing,no
2226,surfing,no
2227,surfing,no
2228,surfing,no
2229,surfing,no
2230,swimming,no
2231,swimming,yes
2232,,no
2233,fishing,no
2234,fishing,yes
2235,,no
2236,surfing,no
2237,,no
2238,fishing,no
2239,surfing,no
2240,surfing,no
2241,surfing,no
2242,surfing,yes
2243,surfing,no
2244,,no
2245,fishing,yes
2246,surfing,no
2247,swimming,no
2248,swimming,no
2249,surfing,no
2250,swimming,unknown
2251,surfing,no
2252,fishing,no
2253,surfing,no
2254,surfing,no
2255,fishing,no
2256,fishing,no
2257,surfing,no
2258,swimming,no
2259,swimming,no
2260,,unknown
2261,,no
2262,,no
2263,swimming,no
2264,surfing,yes
2265,fishing,yes
2266,,no
2267,surfing,unknown
2268,surfing,no
2269,fishing,yes
2270,,no
2271,surfing,no
2272,surfing,no
2273,surfing,no
2274,surfing,no
2275,swimming,yes
2276,surfing,no
2277,surfing,no
2278,surfing,no
2279,,no
2280,swimming,no
2281,swimming,no
2282,surfing,no
2283,,no
2284,surfing,no
2285,,no
2286,fishing,no
2287,,no
2288,swimming,no
2289,fishing,no
2290,,no
2291,swimming,yes
2292,swimming,no
2293,swimming,no
2294,swimming,no
2295,,unknown
2296,,no
2297,,no
2298,swimming,no
2299,surfing,no
2300,surfing,no
2301,surfing,no
2302,surfing,no
2303,swimming,yes
2304,surfing,no
2305,swimming,yes
2306,surfing,no
2307,,unknown
2308,swimming,no
2309,swimming,no
2310,swimming,yes
2311,swimming,no
2312,fishing,no
2313,swimming,no
2314,swimming,no
2315,,yes
2316,,no
2317,swimming,yes
2318,,yes
2319,swimming,no
2320,,no
2321,swimming,no
2322,swimming,no
2323,,unknown
2324,,no
2325,surfing,yes
2326,,yes
2327,surfing,no
2328,,unknown
2329,swimming,no
2330,,no
2331,,no
2332,,no
2333,,no
2334,surfing,no
2335,,no
2336,surfing,no
2337,surfing,no
2338,surfing,no
2339,surfing,no
2340,surfing,no
2341,swimming,no
2342,,yes
2343,swimming,yes
2344,swimming,yes
2345,surfing,no
2346,swimming,no
2347,surfing,no
2348,,no
2349,surfing,no
2350,surfing,no
2351,surfing,no
2352,swimming,no
2353,swimming,no
2354,surfing,no
2355,swimming,no
2356,fishing,no
2357,,no
2358,swimming,no
2359,surfing,no
2360,,no
2361,,no
2362,fishing,no
2363,swimming,no
2364,surfing,no
2365,surfing,no
2366,surfing,no
2367,,no
2368,,no
2369,swimming,no
2370,,no
2371,surfing,yes
2372,surfing,no
2373,surfing,no
2374,fishing,no
2375,surfing,no
2376,swimming,no
2377,,no
2378,,no
2379,surfing,no
2380,swimming,no
2381,swimming,no
2382,swimming,no
2383,swimming,yes
2384,swimming,yes
2385,swimming,yes
2386,surfing,no
2387,boat,yes
2388,,unknown
2389,swimming,yes
2390,,no
2391,,no
2392,swimming,no
2393,swimming,yes
2394,surfing,no
2395,surfing,no
2396,swimming,yes
2397,swimming,no
2398,surfing,no
2399,swimming,yes
2400,surfing,no
2401,swimming,no
2402,swimming,no
2403,swimming,no
2404,,unknown
2405,,no
2406,surfing,no
2407,surfing,no
2408,surfing,no
2409,,unknown
2410,,no
2411,swimming,yes
2412,surfing,yes
2413,fishing,no
2414,surfing,no
2415,surfing,no
2416,surfing,no
2417,surfing,no
2418,,no
2419,surfing,no
2420,swimming,no
2421,surfing,no
2422,,yes
2423,,no
2424,,no
2425,surfing,no
2426,swimming,yes
2427,surfing,yes
2428,surfing,yes
2429,surfing,no
2430,surfing,no
2431,surfing,no
2432,fishing,no
2433,surfing,no
2434,surfing,no
2435,fishing,no
2436,,no
2437,,no
2438,surfing,no
2439,,no
2440,,yes
2441,,no
2442,swimming,no
2443,fishing,yes
2444,swimming,no
2445,swimming,no
2446,,no
2447,surfing,no
2448,fishing,no
2449,surfing,no
2450,fishing,no
2451,surfing,no
2452,fishing,yes
2453,swimming,no
2454,surfing,yes
2455,surfing,no
2456,fishing,no
2457,swimming,no
2458,swimming,no
2459,,no
2460,surfing,no
2461,surfing,yes
2462,swimming,no
2463,swimming,yes
2464,surfing,no
2465,,yes
2466,surfing,no
2467,swimming,no
2468,,no
2469,surfing,no
2470,swimming,yes
2471,fishing,no
2472,surfing,no
2473,surfing,yes
2474,,no
2475,,no
2476,swimming,no
2477,fishing,no
2478,surfing,no
2479,surfing,no
2480,,no
2481,,no
2482,fishing,no
2483,swimming,no
2484,fishing,yes
2485,fishing,yes
2486,surfing,no
2487,,no
2488,swimming,yes
2489,,no
2490,swimming,yes
2491,swimming,yes
2492,surfing,no
2493,swimming,yes
2494,swimming,yes
2495,swimming,yes
2496,swimming,no
2497,,yes
2498,swimming,yes
2499,fishing,no
2500,surfing,no
2501,,no
2502,,no
2503,surfing,no
2504,swimming,no
2505,swimming,no
2506,,no
2507,,no
2508,fishing,no
2509,,no
2510,fishing,no
2511,,no
2512,surfing,no
2513,surfing,no
2514,,yes
2515,fishing,no
2516,swimming,no
2517,fishing,no
2518,surfing,no
2519,swimming,no
2520,surfing,no
2521,surfing,no
2522,,no
2523,swimming,no
2524,swimming,no
2525,surfing,no
2526,,yes
2527,swimming,no
2528,surfing,no
2529,swimming,no
2530,,no
2531,surfing,yes
2532,,no
2533,surfing,no
2534,,no
2535,swimming,yes
2536,surfing,no
2537,swimming,no
2538,surfing,no
2539,fishing,no
2540,surfing,no
2541,swimming,no
2542,fishing,no
2543,fishing,no
2544,,no
2545,surfing,no
2546,surfing,no
2547,swimming,yes
2548,surfing,yes
2549,swimming,no
2550,fishing,no
2551,swimming,no
2552,swimming,no
2553,surfing,yes
2554,swimming,no
2555,swimming,no
2556,surfing,no
2557,surfing,no
2558,surfing,no
2559,swimming,yes
2560,fishing,no
2561,surfing,no
2562,,yes
2563,swimming,no
2564,surfing,no
2565,fishing,no
2566,,no
2567,swimming,no
2568,fishing,no
2569,fishing,no
2570,,no
2571,,no
2572,,yes
2573,swimming,no
2574,swimming,yes
2575,swimming,no
2576,fishing,yes
2577,fishing,no
2578,,no
2579,surfing,no
2580,surfing,no
2581,fishing,no
2582,swimming,yes
2583,,no
2584,swimming,no
2585,,no
2586,fishing,no
2587,,no
2588,swimming,no
2589,swimming,no
2590,swimming,no
2591,surfing,no
2592,surfing,no
2593,,no
2594,,yes
2595,fishing,yes
2596,surfing,no
2597,swimming,no
2598,swimming,yes
2599,surfing,no
2600,swimming,no
2601,fishing,no
2602,swimming,no
2603,surfing,no
2604,surfing,no
2605,swimming,no
2606,surfing,no
2607,fishing,no
2608,swimming,no
2609,surfing,no
2610,surfing,no
2611,,no
2612,swimming,no
2613,surfing,no
2614,surfing,no
2615,surfing,no
2616,surfing,no
2617,swimming,no
2618,surfing,no
2619,surfing,no
2620,surfing,no
2621,surfing,no
2622,fishing,no
2623,surfing,no
2624,,no
2625,swimming,no
2626,surfing,no
2627,surfing,no
2628,fishing,no
2629,,no
2630,surfing,no
2631,surfing,yes
2632,fishing,no
2633,fishing,no
2634,swimming,no
2635,swimming,no
2636,surfing,no
2637,surfing,no
2638,surfing,no
2639,swimming,yes
2640,surfing,no
2641,surfing,no
2642,surfing,no
2643,swimming,no
2644,surfing,no
2645,swimming,yes
2646,boat,no
2647,surfing,no
2648,surfing,unknown
2649,fishing,no
2650,,unknown
2651,swimming,no
2652,surfing,no
2653,swimming,yes
2654,,no
2655,swimming,no
2656,swimming,no
2657,surfing,no
2658,swimming,no
2659,surfing,no
2660,swimming,no
2661,surfing,unknown
2662,swimming,no
2663,fishing,no
2664,,no
2665,swimming,no
2666,surfing,no
2667,,no
2668,fishing,no
2669,swimming,no
2670,surfing,no
2671,surfing,no
2672,fishing,no
2673,fishing,no
2674,swimming,no
2675,surfing,no
2676,surfing,yes
2677,surfing,no
2678,,no
2679,surfing,no
2680,fishing,no
2681,surfing,no
2682,surfing,no
2683,swimming,no
2684,,no
2685,swimming,no
2686,surfing,no
2687,,no
2688,surfing,no
2689,surfing,no
2690,surfing,yes
2691,,no
2692,fishing,no
2693,surfing,no
2694,surfing,yes
2695,,no
2696,,yes
2697,,no
2698,,no
2699,swimming,yes
2700,surfing,no
2701,swimming,no
2702,swimming,no
2703,swimming,yes
2704,,yes
2705,,yes
2706,,yes
2707,surfing,no
2708,surfing,no
2709,surfing,no
2710,surfing,no
2711,surfing,no
2712,surfing,no
2713,,no
2714,surfing,no
2715,,no
2716,swimming,yes
2717,swimming,no
2718,,no
2719,,no
2720,surfing,no
2721,swimming,no
2722,swimming,no
2723,swimming,no
2724,swimming,no
2725,,no
2726,swimming,no
2727,fishing,no
2728,fishing,no
2729,swimming,no
2730,,no
2731,swimming,no
2732,surfing,no
2733,swimming,yes
2734,surfing,no
2735,surfing,no
2736,,yes
2737,surfing,no
2738,swimming,no
2739,boat,no
2740,surfing,no
2741,surfing,no
2742,,no
2743,,no
2744,surfing,no
2745,surfing,no
2746,surfing,no
2747,,no
2748,surfing,no
2749,surfing,no
2750,fishing,no
2751,swimming,no
2752,surfing,no
2753,fishing,no
2754,fishing,no
2755,,no
2756,,no
2757,surfing,no
2758,boat,yes
2759,surfing,no
2760,,no
2761,surfing,no
2762,,no
2763,surfing,no
2764,,no
2765,fishing,no
2766,,yes
2767,swimming,yes
2768,surfing,no
2769,,no
2770,surfing,no
2771,surfing,no
2772,surfing,no
2773,,no
2774,,no
2775,swimming,no
2776,fishing,no
2777,fishing,no
2778,,no
2779,surfing,no
2780,fishing,no
2781,fishing,no
2782,swimming,no
2783,swimming,yes
2784,swimming,yes
2785,surfing,no
2786,,no
2787,surfing,no
2788,,yes
2789,fishing,no
2790,swimming,no
2791,,no
2792,boat,no
2793,fishing,no
2794,,yes
2795,surfing,no
2796,,no
2797,swimming,no
2798,fishing,no
2799,fishing,no
2800,surfing,no
2801,surfing,no
2802,surfing,no
2803,,no
2804,swimming,no
2805,,no
2806,,unknown
2807,surfing,no
2808,,no
2809,surfing,no
2810,surfing,no
2811,surfing,no
2812,fishing,no
2813,swimming,no
2814,,no
2815,fishing,no
2816,,no
2817,fishing,no
2818,swimming,no
2819,swimming,yes
2820,fishing,yes
2821,swimming,no
2822,surfing,no
2823,,no
2824,surfing,no
2825,surfing,no
2826,surfing,no
2827,swimming,no
2828,fishing,no
2829,surfing,no
2830,surfing,no
2831,surfing,no
2832,surfing,no
2833,,no
2834,fishing,no
2835,boat,no
2836,fishing,no
2837,,no
2838,swimming,no
2839,,no
2840,swimming,no
2841,fishing,no
2842,swimming,no
2843,swimming,no
2844,swimming,no
2845,swimming,no
2846,,no
2847,,no
2848,swimming,no
2849,,no
2850,surfing,no
2851,fishing,no
2852,,no
2853,swimming,no
2854,surfing,no
2855,fishing,no
2856,surfing,no
2857,swimming,yes
2858,surfing,no
2859,surfing,no
2860,swimming,no
2861,,no
2862,surfing,no
2863,,no
2864,fishing,no
2865,fishing,no
2866,fishing,no
2867,,yes
2868,fishing,yes
2869,boat,no
2870,boat,yes
2871,surfing,no
2872,fishing,no
2873,swimming,no
2874,surfing,no
2875,,no
2876,surfing,no
2877,surfing,no
2878,surfing,no
2879,surfing,no
2880,swimming,no
2881,surfing,no
2882,swimming,unknown
2883,,no
2884,swimming,yes
2885,fishing,no
2886,boat,no
2887,,yes
2888,swimming,no
2889,swimming,no
2890,fishing,no
2891,fishing,no
2892,fishing,no
2893,surfing,no
2894,,no
2895,swimming,yes
2896,fishing,no
2897,,no
2898,surfing,no
2899,,no
2900,,unknown
2901,fishing,no
2902,swimming,no
2903,,no
2904,fishing,no
2905,swimming,no
2906,,yes
2907,,no
2908,surfing,no
2909,fishing,no
2910,surfing,no
2911,swimming,no
2912,swimming,no
2913,swimming,no
2914,,no
2915,boat,no
2916,surfing,no
2917,swimming,no
2918,surfing,no
2919,,no
2920,,no
2921,surfing,no
2922,fishing,no
2923,swimming,no
2924,swimming,no
2925,swimming,no
2926,fishing,no
2927,swimming,yes
2928,swimming,yes
2929,,no
2930,surfing,no
2931,surfing,no
2932,fishing,no
2933,,no
2934,swimming,no
2935,fishing,yes
2936,surfing,no
2937,,no
2938,swimming,no
2939,fishing,no
2940,,no
2941,surfing,no
2942,surfing,no
2943,surfing,unknown
2944,fishing,no
2945,surfing,no
2946,,no
2947,fishing,no
2948,surfing,no
2949,surfing,no
2950,,no
2951,,no
2952,fishing,no
2953,,no
2954,surfing,no
2955,fishing,no
2956,swimming,no
2957,,yes
2958,fishing,no
2959,,no
2960,surfing,no
2961,surfing,no
2962,surfing,no
2963,surfing,no
2964,swimming,no
2965,swimming,no
2966,,no
2967,,yes
2968,surfing,no
2969,swimming,no
2970,surfing,no
2971,,no
2972,,no
2973,,no
2974,swimming,no
2975,swimming,no
2976,swimming,no
2977,,no
2978,surfing,yes
2979,swimming,no
2980,fishing,no
2981,,no
2982,boat,no
2983,,no
2984,surfing,no
2985,surfing,yes
2986,fishing,no
2987,fishing,yes
2988,surfing,no
2989,fishing,no
2990,,no
2991,swimming,no
2992,swimming,yes
2993,swimming,no
2994,swimming,yes
2995,swimming,no
2996,boat,unknown
2997,fishing,no
2998,fishing,unknown
2999,surfing,yes
3000,,no
3001,surfing,no
3002,fishing,no
3003,,no
3004,swimming,no
3005,swimming,no
3006,surfing,unknown
3007,surfing,no
3008,surfing,no
3009,surfing,no
3010,surfing,no
3011,swimming,yes
3012,surfing,no
3013,surfing,no
3014,surfing,no
3015,fishing,no
3016,fishing,no
3017,swimming,no
3018,swimming,yes
3019,surfing,no
3020,swimming,no
3021,surfing,no
3022,fishing,no
3023,,no
3024,fishing,no
3025,,no
3026,swimming,yes
3027,swimming,yes
3028,surfing,no
3029,swimming,no
3030,swimming,no
3031,surfing,no
3032,,no
3033,,no
3034,surfing,no
3035,,no
3036,surfing,no
3037,swimming,no
3038,swimming,unknown
3039,swimming,no
3040,,no
3041,,unknown
3042,surfing,no
3043,fishing,no
3044,fishing,no
3045,swimming,no
3046,surfing,no
3047,swimming,no
3048,,no
3049,,no
3050,fishing,no
3051,swimming,no
3052,swimming,no
3053,swimming,yes
3054,surfing,no
3055,surfing,no
3056,swimming,yes
3057,,no
3058,,no
3059,swimming,no
3060,surfing,no
3061,,no
3062,surfing,no
3063,surfing,no
3064,swimming,no
3065,surfing,no
3066,fishing,no
3067,boat,yes
3068,surfing,no
3069,swimming,yes
3070,swimming,no
3071,boat,yes
3072,fishing,no
3073,,no
3074,fishing,no
3075,fishing,no
3076,swimming,no
3077,swimming,no
3078,swimming,yes
3079,,no
3080,surfing,no
3081,fishing,no
3082,fishing,no
3083,swimming,no
3084,fishing,yes
3085,swimming,no
3086,surfing,no
3087,fishing,no
3088,fishing,no
3089,swimming,no
3090,swimming,yes
3091,,yes
3092,,no
3093,,yes
3094,boat,no
3095,swimming,no
3096,fishing,no
3097,swimming,yes
3098,fishing,no
3099,,yes
3100,swimming,no
3101,surfing,no
3102,surfing,no
3103,swimming,no
3104,,no
3105,fishing,yes
3106,surfing,no
3107,fishing,yes
3108,,no
3109,fishing,yes
3110,surfing,no
3111,surfing,no
3112,fishing,no
3113,fishing,no
3114,swimming,no
3115,swimming,no
3116,,no
3117,,no
3118,boat,no
3119,fishing,no
3120,surfing,no
3121,surfing,no
3122,,no
3123,swimming,no
3124,swimming,no
3125,swimming,no
3126,,no
3127,fishing,no
3128,swimming,no
3129,surfing,no
3130,,no
3131,surfing,no
3132,swimming,yes
3133,swimming,no
3134,surfing,no
3135,surfing,no
3136,fishing,no
3137,,no
3138,fishing,no
3139,surfing,no
3140,,yes
3141,fishing,no
3142,surfing,no
3143,,no
3144,fishing,no
3145,swimming,no
3146,fishing,no
3147,fishing,no
3148,,no
3149,,no
3150,swimming,no
3151,swimming,no
3152,,no
3153,,yes
3154,,yes
3155,surfing,no
3156,,no
3157,,no
3158,swimming,yes
3159,,no
3160,swimming,no
3161,,no
3162,,no
3163,surfing,no
3164,swimming,no
3165,fishing,no
3166,boat,no
3167,surfing,no
3168,surfing,no
3169,boat,no
3170,swimming,no
3171,,yes
3172,swimming,yes
3173,swimming,yes
3174,surfing,no
3175,surfing,no
3176,surfing,no
3177,fishing,no
3178,,no
3179,swimming,yes
3180,fishing,no
3181,swimming,no
3182,swimming,no
3183,fishing,no
3184,boat,no
3185,fishing,no
3186,,no
3187,,no
3188,fishing,no
3189,,no
3190,,no
3191,,no
3192,fishing,no
3193,,no
3194,fishing,no
3195,swimming,no
3196,fishing,yes
3197,swimming,yes
3198,,no
3199,swimming,no
3200,,no
3201,,no
3202,,no
3203,,no
3204,surfing,no
3205,surfing,no
3206,surfing,no
3207,surfing,no
3208,,no
3209,surfing,no
3210,,no
3211,swimming,no
3212,swimming,no
3213,,yes
3214,swimming,yes
3215,swimming,no
3216,surfing,no
3217,surfing,no
3218,swimming,no
3219,swimming,no
3220,fishing,no
3221,surfing,no
3222,swimming,no
3223,,no
3224,swimming,no
3225,surfing,no
3226,,no
3227,surfing,no
3228,swimming,no
3229,swimming,no
3230,,no
3231,fishing,no
3232,swimming,no
3233,,no
3234,,no
3235,swimming,no
3236,,no
3237,,yes
3238,surfing,no
3239,,no
3240,swimming,yes
3241,fishing,no
3242,,no
3243,fishing,no
3244,surfing,yes
3245,fishing,no
3246,,yes
3247,,no
3248,,no
3249,surfing,no
3250,swimming,no
3251,swimming,no
3252,surfing,no
3253,surfing,no
3254,fishing,no
3255,surfing,no
3256,swimming,no
3257,swimming,yes
3258,swimming,no
3259,swimming,no
3260,,yes
3261,surfing,no
3262,swimming,no
3263,swimming,yes
3264,boat,yes
3265,swimming,no
3266,surfing,no
3267,fishing,yes
3268,fishing,no
3269,,no
3270,swimming,no
3271,surfing,no
3272,surfing,no
3273,fishing,no
3274,swimming,no
3275,swimming,no
3276,fishing,no
3277,fishing,no
3278,,no
3279,swimming,yes
3280,swimming,no
3281,swimming,yes
3282,swimming,yes
3283,fishing,no
3284,,yes
3285,fishing,no
3286,swimming,yes
3287,swimming,yes
3288,swimming,no
3289,swimming,yes
3290,,no
3291,surfing,no
3292,,no
3293,fishing,yes
3294,swimming,no
3295,swimming,yes
3296,swimming,yes
3297,,no
3298,,unknown
3299,surfing,no
3300,,no
3301,swimming,no
3302,,yes
3303,,no
3304,fishing,yes
3305,fishing,no
3306,swimming,yes
3307,fishing,no
3308,surfing,no
3309,swimming,no
3310,swimming,no
3311,surfing,no
3312,,no
3313,swimming,no
3314,surfing,yes
3315,swimming,no
3316,,no
3317,,no
3318,fishing,yes
3319,fishing,no
3320,surfing,no
3321,swimming,yes
3322,surfing,no
3323,swimming,no
3324,surfing,no
3325,swimming,no
3326,surfing,no
3327,fishing,no
3328,swimming,no
3329,swimming,no
3330,,yes
3331,,yes
3332,surfing,no
3333,swimming,no
3334,fishing,no
3335,swimming,yes
3336,,no
3337,swimming,yes
3338,fishing,no
3339,fishing,no
3340,surfing,no
3341,,no
3342,swimming,yes
3343,,no
3344,,no
3345,swimming,no
3346,swimming,no
3347,,no
3348,swimming,no
3349,,yes
3350,swimming,no
3351,,no
3352,surfing,no
3353,swimming,no
3354,swimming,no
3355,surfing,no
3356,swimming,yes
3357,fishing,yes
3358,swimming,no
3359,,no
3360,swimming,no
3361,surfing,no
3362,swimming,no
3363,swimming,no
3364,swimming,yes
3365,surfing,yes
3366,,yes
3367,,yes
3368,,yes
3369,surfing,no
3370,swimming,no
3371,surfing,no
3372,,no
3373,,no
3374,fishing,yes
3375,fishing,yes
3376,fishing,no
3377,boat,no
3378,,no
3379,surfing,no
3380,surfing,no
3381,swimming,no
3382,fishing,no
3383,,no
3384,,no
3385,swimming,no
3386,swimming,no
3387,boat,no
3388,,no
3389,fishing,no
3390,swimming,no
3391,,yes
3392,,yes
3393,,yes
3394,swimming,yes
3395,swimming,no
3396,swimming,unknown
3397,surfing,no
3398,,no
3399,,no
3400,swimming,no
3401,swimming,no
3402,swimming,no
3403,swimming,no
3404,,yes
3405,swimming,no
3406,,no
3407,swimming,no
3408,swimming,no
3409,fishing,no
3410,fishing,no
3411,fishing,unknown
3412,,no
3413,,no
3414,swimming,yes
3415,fishing,no
3416,swimming,no
3417,swimming,no
3418,,no
3419,swimming,no
3420,swimming,no
3421,,no
3422,fishing,no
3423,surfing,no
3424,surfing,no
3425,,no
3426,,no
3427,,no
3428,surfing,no
3429,,unknown
3430,swimming,no
3431,,no
3432,surfing,no
3433,swimming,no
3434,surfing,unknown
3435,,no
3436,,no
3437,fishing,no
3438,,no
3439,surfing,no
3440,fishing,no
