,date,country,activity,fatal_(y/n),month,australia
135,10-jun-2017,usa,surfing,no,june,
136,reported_07-jun-2017,united_kingdom,surfing,no,june,
137,04-jun-2017,usa,fishing,no,june,
138,02-jun-2017,bahamas,swimming,no,june,
139,30-may-2017,usa,other_activities,no,may,
140,28-may-2017,usa,other_activities,no,may,
141,27-may-2017,australia,fishing,no,may,australia
142,12-may-2017,united_arab_emirates,fishing,no,may,
143,reported_06-may-2017,australia,other_activities,no,may,australia
144,05-may-2017,mexico,swimming,yes,may,
145,03-may-2017,usa,surfing,no,may,
146,29-apr-2017,usa,swimming,no,april,
147,29-apr-2017,south_africa,surfing,no,april,
148,29-apr-2017,usa,surfing,no,april,
149,29-apr-2017,reunion,other_activities,yes,april,
150,27-apr-2017,new_zealand,other_activities,no,april,
151,26-apr-2017,usa,other_activities,no,april,
152,22-apr-2017,"st_helena,_british_overseas_territory",swimming,no,april,
153,20-apr-2017,usa,swimming,no,april,
154,17-apr-2017,usa,other_activities,no,april,
155,17-apr-2017,australia,surfing,yes,april,australia
156,14-apr-2017,usa,surfing,no,april,
157,13-apr-2017,usa,surfing,no,april,
158,12-apr-2017,usa,surfing,no,april,
159,12-apr-2017,south_africa,swimming,no,april,
160,11-apr-2017,usa,surfing,no,april,
161,10-apr-2017,usa,other_activities,no,april,
162,10-apr-2017,usa,swimming,no,april,
163,06-apr-2017,usa,swimming,no,april,
164,05-apr-2017,usa,swimming,no,april,
165,02-apr-2017,australia,other_activities,no,april,australia
166,02-apr-2017,usa,swimming,no,april,
167,27-mar-2017,usa,surfing,no,march,
168,19-mar-2017,australia,other_activities,no,march,australia
169,18-mar-2017,usa,other_activities,no,march,
170,11-mar-2017,philippines,fishing,no,march,
171,reported_09-mar-2017,bahamas,other_activities,no,march,
172,25-feb-2017,australia,swimming,no,february,australia
173,24-feb-2017,australia,surfing,no,february,australia
174,21-feb-2017,reunion,other_activities,yes,february,
175,17-feb-2017,australia,fishing,no,february,australia
176,11-feb-2017,usa,swimming,no,february,
177,06-feb-2017,brazil,other_activities,no,february,
178,06-feb-2017,south_africa,fishing,no,february,
179,01-feb-2017,usa,other_activities,no,february,
180,01-feb-2017,bahamas,swimming,no,february,
