,date,country,activity,fatal_(y/n),month,australia
1111,11-jul-2009,bahamas,fishing,no,july,
1112,11-jul-2009,usa,surfing,no,july,
1113,07-jul-2009,south_africa,surfing,no,july,
1114,05-jul-2009,usa,other_activities,no,july,
1115,04-jul-2009,usa,swimming,no,july,
1116,27-jun-2009,australia,surfing,no,june,australia
1117,21-jun-2009,usa,surfing,no,june,
1118,16-jun-2009,usa,other_activities,no,june,
1119,reported_14-jun-2009,vietnam,fishing,no,june,
1120,02-jun-2009,egypt,swimming,no,june,
1121,02-jun-2009,egypt,swimming,no,june,
1122,01-jun-2009,egypt,swimming,yes,june,
1123,31-may-2009,taiwan,fishing,no,may,
1124,25-may-2009,usa,swimming,no,may,
1125,17-may-2009,usa,surfing,no,may,
1126,16-may-2009,usa,surfing,no,may,
1127,16-may-2009,usa,surfing,no,may,
1128,12-may-2009,guam,fishing,no,may,
1129,06-mar-2009,bahamas,fishing,no,march,
1130,28-apr-2009,usa,other_activities,no,april,
1131,reported_25-apr-2009,usa,surfing,no,april,
1132,21-apr-2009,usa,surfing,no,april,
1133,20-apr-2009,philippines,swimming,no,april,
1134,19-apr-2009,usa,surfing,no,april,
1135,17-apr-2009,usa,surfing,no,april,
1136,11-apr-2009,usa,fishing,no,april,
1137,12-apr-2009,australia,surfing,no,april,australia
1138,06-apr-2009,south_africa,swimming,no,april,
1139,06-apr-2009,usa,fishing,no,april,
1140,03-apr-2009,usa,other_activities,no,april,
1141,27-mar-2009,south_africa,fishing,no,march,
1142,21-mar-2009,south_africa,surfing,yes,march,
1143,20-mar-2009,australia,surfing,no,march,australia
1144,19-mar-2009,australia,surfing,no,march,australia
1145,19-mar-2009,australia,surfing,no,march,australia
1146,18-mar-2009,usa,surfing,no,march,
1147,reported_17-mar-2009,malaysia,fishing,no,march,
1148,17-mar-2009,usa,swimming,no,march,
1149,reported_16-mar-2009,australia,other_activities,no,march,australia
1150,06-mar-2009,new_caledonia,surfing,yes,march,
1151,02-mar-2009,south_africa,fishing,no,march,
1152,01-mar-2009,new_zealand,fishing,no,march,
1153,01-mar-2009,australia,surfing,no,march,australia
1154,22-feb-2009,australia,fishing,no,february,australia
1155,18-feb-2009,australia,surfing,no,february,australia
1156,12-feb-2009,australia,surfing,no,february,australia
1157,11-feb-2009,australia,surfing,no,february,australia
1158,08-feb-2009,usa,other_activities,yes,february,
1159,07-feb-2009,australia,surfing,no,february,australia
1160,07-feb-2009,australia,surfing,no,february,australia
1161,reported_27-jan-2009,azores,fishing,no,january,
1162,reported_26-jan-2009,brazil,other_activities,no,january,
1163,25-jan-2009,cuba,fishing,no,january,
1164,24-jan-2009,new_zealand,fishing,no,january,
1165,24-jan-2009,australia,swimming,no,january,australia
1166,24-jan-2009,south_africa,swimming,yes,january,
1167,23-jan-2009,brazil,swimming,no,january,
1168,18-jan-2009,australia,fishing,no,january,australia
1169,16-jan-2009,new_zealand,surfing,no,january,
1170,reported_13-jan-2009,south_africa,other_activities,yes,january,
1171,12-jan-2009,australia,swimming,no,january,australia
1172,11-jan-2009,australia,surfing,no,january,australia
1173,11-jan-2009,australia,surfing,no,january,australia
1174,10-jan-2009,new_zealand,fishing,no,january,
1175,10-jan-2009,ecuador,surfing,no,january,
1176,06-jan-2009,new_zealand,swimming,no,january,
1177,jan-2009,cuba,fishing,no,january,
1178,30-dec-2008,australia,other_activities,no,december,australia
1179,27-dec-2008,australia,boat,no,december,australia
1180,27-dec-2008,australia,other_activities,no,december,australia
1181,27-dec-2008,australia,other_activities,no,december,australia
1182,27-dec-2008,australia,swimming,yes,december,australia
1183,20-dec-2008,usa,other_activities,no,december,
1184,14-dec-2008,new_zealand,fishing,no,december,
1185,10-dec-2008,south_africa,fishing,no,december,
1186,06-dec-2006,australia,fishing,no,december,australia
1187,dec-2008,mozambique,fishing,yes,december,
1188,28-nov-2008,egypt,swimming,no,november,
1189,25-nov-2008,philippines,boat,no,november,
1190,24-nov-2008,ecuador,other_activities,no,november,
1191,09-nov-2008,australia,fishing,no,november,australia
1192,09-nov-2008,taiwan,fishing,yes,november,
1193,06-nov-2008,philippines,fishing,yes,november,
1194,22-oct-2008,australia,swimming,no,october,australia
1195,21-oct-2008,new_caledonia,fishing,no,october,
1196,12-oct-2008,australia,fishing,no,october,australia
1197,11-oct-2008,australia,surfing,no,october,australia
1198,08-oct-2008,usa,fishing,no,october,
1199,06-oct-2008,croatia,fishing,no,october,
1200,28-sep-2008,usa,surfing,no,september,
1201,28-sep-2008,usa,surfing,no,september,
1202,15-sep-2008,australia,swimming,no,september,australia
1203,14-sep-2008,usa,swimming,no,september,
1204,09-sep-2008,usa,surfing,no,september,
1205,08-sep-2008,usa,surfing,no,september,
1206,07-sep-2008,australia,surfing,no,september,australia
1207,06-sep-2008,usa,surfing,no,september,
1208,06-sep-2008,usa,surfing,no,september,
1209,01-sep-2008,usa,surfing,no,september,
1210,sep-2008,usa,surfing,no,september,
1211,30-aug-2008,australia,surfing,no,august,australia
1212,30-aug-2008,usa,swimming,no,august,
1213,30-aug-2008,england,fishing,no,august,
1214,28-aug-2008,usa,surfing,no,august,
1215,27-aug-2008,usa,surfing,no,august,
1216,24-aug-2008,usa,surfing,no,august,
1217,24-aug-2008,usa,surfing,no,august,
1218,20-aug-2008,usa,swimming,no,august,
1219,18-aug-2008,usa,other_activities,no,august,
1220,16-aug-2008,usa,other_activities,no,august,
1221,12-aug-2008,usa,other_activities,no,august,
1222,11-aug-2008,usa,swimming,no,august,
1223,30-jul-2008,australia,surfing,no,july,australia
1224,reported_30-jul-2008,south_africa,other_activities,no,july,
1225,27-jul-2008,panama,surfing,no,july,
1226,26-jul-2008,mexico,swimming,no,july,
1227,26-jul-2008,usa,swimming,no,july,
1228,25-jul-2008,usa,surfing,no,july,
1229,25-jul-2008,usa,swimming,no,july,
1230,24-jul-2008,usa,other_activities,no,july,
1231,24-jul-2008,usa,other_activities,no,july,
1232,23-jul-2008,usa,surfing,no,july,
1233,19-jul-2008,usa,other_activities,no,july,
1234,18-jul-2008,egypt,swimming,no,july,
1235,13-jul-2008,usa,surfing,no,july,
1236,11-jul-2008,usa,surfing,no,july,
1237,09-jul-2008,usa,swimming,no,july,
1238,05-jul-2008,usa,other_activities,no,july,
1239,late_jul-2008,united_kingdom,other_activities,no,july,
1240,28-jun-2008,usa,other_activities,no,june,
1241,28-jun-2008,bahamas,fishing,no,june,
1242,28-jun-2008,south_africa,surfing,no,june,
1243,reported_26-jun-2008,south_africa,swimming,no,june,
1244,26-jun-2008,usa,surfing,no,june,
1245,26-jun-2008,usa,swimming,no,june,
1246,24-jun-2008,brazil,surfing,no,june,
1247,21-jun-2008,usa,other_activities,no,june,
1248,20-jun-2008,usa,other_activities,no,june,
1249,11-jun-2008,brazil,surfing,no,june,
1250,07-jun-2008,usa,surfing,no,june,
1251,reported_02-jun-2008,scotland,fishing,no,june,
1252,01-jun-2008,usa,surfing,no,june,
1253,01-jun-2008,brazil,swimming,no,june,
1254,26-may-2008,usa,surfing,no,may,
1255,24-may-2008,bahamas,other_activities,no,may,
1256,24-may-2008,mexico,surfing,no,may,
1257,23-may-2008,mexico,surfing,yes,may,
1258,14-may-2008,fiji,swimming,yes,may,
1259,10-may-2008,australia,swimming,no,may,australia
1260,07-may-2008,new_caledonia,fishing,no,may,
1261,07-may-2008,usa,other_activities,no,may,
1262,01-may-2008,south_africa,fishing,no,may,
1263,28-apr-2008,mexico,surfing,yes,april,
1264,28-apr-2008,usa,surfing,no,april,
1265,27-apr-2008,usa,surfing,no,april,
1266,26-apr-2008,new_caledonia,swimming,no,april,
1267,26-apr-2008,usa,surfing,no,april,
1268,25-apr-2008,usa,swimming,yes,april,
1269,20-apr-2008,usa,surfing,no,april,
1270,20-apr-2008,australia,other_activities,,april,australia
1271,reported_19-apr-2008,south_africa,swimming,no,april,
1272,18-apr-2008,mexico,swimming,no,april,
1273,17-apr-2008,australia,surfing,no,april,australia
1274,15-apr-2008,usa,surfing,no,april,
1275,reported_09-apr-2008,fiji,fishing,no,april,
1276,25-mar-2008,usa,other_activities,no,march,
1277,reported_08-apr-2008,usa,surfing,no,april,
1278,08-apr-2008,australia,other_activities,yes,april,australia
1279,03-apr-2008,usa,surfing,no,april,
1280,28-mar-2008,south_africa,surfing,no,march,
1281,28-mar-2008,usa,surfing,no,march,
1282,28-mar-2008,usa,other_activities,no,march,
1283,23-mar-2008,usa,surfing,no,march,
1284,21-mar-2008,usa,other_activities,no,march,
1285,15-mar-2008,usa,other_activities,no,march,
1286,07-mar-2008,usa,surfing,no,march,
1287,24-feb-2008,bahamas,swimming,yes,february,
1288,reported_21-feb-2008,french_polynesia,fishing,no,february,
1289,15-feb-2008,usa,surfing,no,february,
1290,07-feb-2008,australia,surfing,no,february,australia
1291,06-feb-2008,usa,surfing,no,february,
1292,2008.01.30,japan,swimming,no,,
1293,29-jan-2008,south_africa,surfing,no,january,
1294,27-jan-2008,australia,other_activities,no,january,australia
1295,reported_19-jan-2008,new_zealand,other_activities,no,january,
1296,14-jan-2008,new_zealand,other_activities,no,january,
1297,10-jan-2008,usa,surfing,no,january,
1298,fall_2008,usa,fishing,no,,
1299,summer-2008,mexico,surfing,no,,
1300,21-dec-2007,ecuador,surfing,no,december,
1301,19-dec-2007,british_virgin_islands,swimming,no,december,
1302,18-dec-2007,australia,surfing,no,december,australia
1303,15-dec-2007,australia,swimming,no,december,australia
1304,14-dec-2007,australia,swimming,no,december,australia
1305,10-dec-2007,usa,surfing,no,december,
1306,09-dec-2007,new_zealand,surfing,no,december,
1307,07-dec-2007,brazil,fishing,no,december,
1308,18-nov-2007,australia,fishing,no,november,australia
1309,08-nov-2007,australia,surfing,no,november,australia
1310,07-nov-2007,south_africa,surfing,no,november,
1311,06-nov-2007,usa,surfing,no,november,
1312,04-nov-2007,usa,surfing,no,november,
1313,03-nov-2007,south_africa,surfing,no,november,
1314,november_2011,mexico,swimming,no,november,
1315,29-oct-2007,usa,other_activities,no,october,
1316,15-oct-2007,australia,surfing,no,october,australia
1317,13-oct-2007,australia,fishing,no,october,australia
1318,07-oct-2007,usa,surfing,no,october,
1319,06-oct-2007,usa,surfing,no,october,
1320,30-sep-2007,usa,surfing,no,september,
1321,30-sep-2007,philippines,boat,yes,september,
1322,30-sep-2007,new_caledonia,swimming,yes,september,
1323,28-sep-2007,bahamas,fishing,no,september,
1324,27-sep-2007,usa,surfing,no,september,
1325,27-sep-2007,egypt,swimming,no,september,
1326,22-sep-2007,usa,swimming,no,september,
1327,22-sep-2007,usa,surfing,no,september,
1328,20-sep-2007,usa,surfing,no,september,
1329,17-sep-2007,solomon_islands,fishing,no,september,
1330,16-sep-2007,usa,other_activities,no,september,
1331,16-sep-2007,usa,surfing,no,september,
1332,13-sep-2007,usa,swimming,no,september,
1333,08-sep-2007,usa,other_activities,no,september,
1334,05-sep-2007,usa,other_activities,no,september,
1335,04-sep-2007,usa,other_activities,no,september,
1336,03-sep-2007,usa,other_activities,no,september,
1337,03-sep-2007,usa,swimming,no,september,
1338,28-aug-2007,usa,other_activities,no,august,
1339,28-aug-2007,usa,surfing,no,august,
1340,26-aug-2007,usa,surfing,no,august,
1341,25-aug-2007,usa,surfing,no,august,
1342,22-aug-2007,usa,swimming,no,august,
1343,20-aug-2007,usa,fishing,no,august,
1344,19-aug-2007,usa,swimming,no,august,
1345,19-aug-2007,usa,surfing,no,august,
1346,19-aug-2007,usa,other_activities,no,august,
1347,15-aug-2007,usa,boat,no,august,
1348,12-aug-2007,usa,swimming,no,august,
1349,11-aug-2007,usa,surfing,no,august,
1350,09-aug-2007,usa,swimming,no,august,
1351,09-aug-2007,usa,other_activities,no,august,
1352,07-aug-2007,usa,other_activities,no,august,
1353,29-jul-2007,usa,surfing,no,july,
1354,28-jul-2007,usa,surfing,no,july,
1355,22-jul-2007,usa,surfing,no,july,
1356,21-jul-2007,usa,fishing,no,july,
1357,19-jul-2007.b,usa,swimming,no,july,
1358,19-jul-2007.a,australia,other_activities,no,july,australia
1359,18-jul-2007,usa,swimming,no,july,
1360,18-jul-2007,norway,swimming,no,july,
1361,17-jul-2007,usa,swimming,no,july,
1362,17-jul-2007,usa,other_activities,no,july,
1363,10-jul-2007,bahamas,fishing,no,july,
1364,05-jul-2007,usa,surfing,no,july,
1365,04-jul-2007,reunion,other_activities,no,july,
1366,jul-2007,senegal,other_activities,no,july,
1367,30-jun-2007,usa,other_activities,no,june,
1368,30-jun-2007,usa,swimming,no,june,
1369,25-jun-2007,usa,surfing,no,june,
1370,24-jun-2007,usa,surfing,no,june,
1371,17-jun-2007,usa,surfing,no,june,
1372,12-jun-2007,usa,swimming,no,june,
1373,05-jun-2007,australia,surfing,no,june,australia
1374,26-may-2007,usa,other_activities,no,may,
1375,24-may-2007,usa,other_activities,no,may,
1376,reported_17-may-2007,england,fishing,no,may,
1377,16-may-2007,australia,other_activities,no,may,australia
1378,12-may-2007,australia,surfing,no,may,australia
1379,10-may-2007,usa,surfing,no,may,
1380,reported_09-may-2007,seychelles,swimming,no,may,
1381,08-may-2007,australia,swimming,no,may,australia
1382,07-may-2007,usa,swimming,no,may,
1383,07-may-2007,usa,swimming,no,may,
1384,04-may-2007,turks_&_caicos,other_activities,yes,may,
1385,may-2007,bahamas,other_activities,no,may,
1386,26-apr-2007,australia,swimming,no,april,australia
1387,22-apr-2007,usa,other_activities,no,april,
1388,20-apr-2007,usa,surfing,no,april,
1389,reported______13-apr-2007,usa,fishing,no,april,
1390,09-apr-2007,new_caledonia,surfing,no,april,
1391,01-apr-2007,usa,other_activities,no,april,
1392,31-mar-2007,usa,surfing,no,march,
1393,31-mar-2007,usa,other_activities,no,march,
1394,22-mar-2007,yemen,other_activities,yes,march,
1395,21-mar-2007,usa,surfing,no,march,
1396,20-mar-2007,australia,surfing,no,march,australia
1397,reported_14-mar-2007,usa,fishing,no,march,
1398,12-mar-2007,australia,swimming,no,march,australia
1399,11-mar-2007,usa,surfing,no,march,
1400,reported_05-mar-2007,new_zealand,fishing,no,march,
1401,04-feb-2007,costa_rica,swimming,no,february,
1402,03-feb-2007,australia,other_activities,no,february,australia
1403,feb-2007,new_caledonia,fishing,no,february,
1404,25-jan-2007,new_caledonia,swimming,no,january,
1405,25-jan-2007,usa,other_activities,no,january,
1406,23-jan-2007,australia,swimming,no,january,australia
1407,19-jan-2007,australia,swimming,no,january,australia
1408,14-jan-2007,south_africa,surfing,yes,january,
1409,09-jan-2007,australia,surfing,no,january,australia
1410,07-jan-2007,usa,surfing,no,january,
1411,01-jan-2007,usa,surfing,no,january,
1412,18-dec-2006,australia,surfing,no,december,australia
1413,11-dec-2006,new_zealand,surfing,no,december,
1414,10-dec-2006,usa,surfing,no,december,
1415,06-dec-2006,south_africa,fishing,no,december,
1416,02-dec-2006,australia,other_activities,no,december,australia
1417,25-nov-2006,philippines,other_activities,yes,november,
1418,11-nov-2006,usa,swimming,no,november,
1419,09-nov-2006,south_africa,other_activities,no,november,
1420,31-oct-2006,usa,surfing,no,october,
1421,16-oct-2006,usa,fishing,no,october,
1422,10-oct-2006,usa,surfing,no,october,
1423,07-oct-2006,usa,surfing,no,october,
1424,05-oct-2006,usa,other_activities,no,october,
1425,oct-2006,bahamas,swimming,no,october,
1426,oct-2006,gulf_of_aden,other_activities,yes,october,
1427,30-sep-2006,south_africa,fishing,no,september,
1428,29-sep-2006,usa,surfing,no,september,
1429,reported_18-sep-2006,usa,swimming,no,september,
1430,16-sep-2006,usa,surfing,no,september,
1431,14-sep-2006,usa,swimming,no,september,
1432,11-sep-2006,usa,surfing,no,september,
1433,04-sep-2006,australia,swimming,no,september,australia
1434,03-sep-2006,brazil,other_activities,yes,september,
1435,03-sep-2006,usa,other_activities,no,september,
1436,02-sep-2006,usa,swimming,no,september,
1437,02-sep-2006,south_africa,surfing,no,september,
1438,29-aug-2006,usa,surfing,no,august,
1439,29-aug-2006,australia,surfing,no,august,australia
1440,27-aug-2006,reunion,other_activities,no,august,
1441,22-aug-2006,brazil,other_activities,no,august,
1442,22-aug-2006,belize,fishing,no,august,
1443,20-aug-2006,italy,other_activities,yes,august,
1444,20-aug-2006,reunion,surfing,yes,august,
1445,15-aug-2006,south_africa,surfing,no,august,
1446,13-aug-2006,south_africa,other_activities,no,august,
1447,aug-2006,usa,other_activities,no,august,
1448,early_aug-2006,reunion,fishing,no,august,
1449,31-jul-2006,usa,other_activities,no,july,
1450,31-jul-2006,usa,surfing,no,july,
1451,29-jul-2006,usa,other_activities,no,july,
1452,29-jul-2006,usa,surfing,no,july,
1453,28-jul-2006,south_africa,surfing,no,july,
1454,25-jul-2006,usa,surfing,no,july,
1455,23-jul-2006,usa,surfing,no,july,
1456,reported_17-jul-2006,australia,other_activities,no,july,australia
1457,17-jul-2006,usa,other_activities,no,july,
1458,13-jul-2006,spain,swimming,no,july,
1459,12-jul-2006,usa,swimming,no,july,
1460,10-jul-2006,brazil,other_activities,yes,july,
1461,09-jul-2006,usa,other_activities,no,july,
1462,09-jul-2006.,usa,other_activities,no,july,
1463,08-jul-2006,usa,other_activities,no,july,
1464,08-jul-2006,usa,swimming,no,july,
1465,july_2006,usa,fishing,no,july,
1466,july_2006,usa,fishing,no,july,
1467,27-jun-2006,usa,other_activities,no,june,
1468,26-jun-2006,usa,fishing,no,june,
1469,24-jun-2006,bahamas,fishing,no,june,
1470,20-jun-2006,usa,surfing,no,june,
1471,18-jun-2006,brazil,other_activities,yes,june,
1472,17-jun-2006,usa,swimming,no,june,
1473,15-jun-2006,usa,surfing,no,june,
1474,07-jun-2006,usa,other_activities,no,june,
1475,05-jun-2006,australia,surfing,no,june,australia
1476,31-may-2006,usa,fishing,no,may,
1477,28-may-2006,usa,other_activities,no,may,
1478,27-may-2006,usa,surfing,no,may,
1479,24-may-2006,usa,fishing,no,may,
1480,21-may-2006,brazil,surfing,no,may,
1481,19-may-2006,usa,swimming,no,may,
1482,05-may-2006,usa,other_activities,no,may,
1483,04-may-2006,usa,swimming,no,may,
1484,02-may-2006,australia,swimming,no,may,australia
1485,reported______23-apr-2006,usa,other_activities,no,april,
1486,21-apr-2006,usa,surfing,no,april,
1487,19-apr-2006,usa,other_activities,no,april,
1488,13-apr-2006,usa,fishing,no,april,
1489,11-apr-2006,australia,surfing,no,april,australia
1490,09-apr-2006,south_africa,other_activities,no,april,
1491,09-apr-2006,brazil,swimming,no,april,
1492,03-apr-2006,usa,other_activities,no,april,
1493,reported__28-mar-2006,sierra_leone,fishing,yes,march,
1494,23-mar-2006,usa,surfing,no,march,
1495,22-mar-2006,south_africa,swimming,no,march,
1496,18-mar-2006,fiji,surfing,no,march,
1497,15-mar-2006,australia,surfing,no,march,australia
1498,27-feb-2006,usa,other_activities,no,february,
1499,23-feb-2006,usa,swimming,no,february,
1500,13-feb-2006,australia,other_activities,no,february,australia
1501,12-feb-2006,australia,swimming,no,february,australia
1502,12-feb-2006,australia,fishing,no,february,australia
1503,08-feb-2006,south_africa,surfing,no,february,
1504,01-feb-2006,tonga,swimming,yes,february,
1505,01-feb-2006,usa,other_activities,no,february,
1506,reported_28-jan-2006,atlantic_ocean,other_activities,no,january,
1507,25-jan-2006,south_africa,fishing,no,january,
1508,23-jan-2006,atlantic_ocean,other_activities,no,january,
1509,18-jan-2006,usa,surfing,no,january,
1510,15-jan-2006,australia,swimming,no,january,australia
1511,11-jan-2006,bahamas,swimming,no,january,
1512,07-jan-2006,australia,swimming,yes,january,australia
1513,04-jan-2006,usa,surfing,no,january,
1514,01-jan-2006,south_africa,swimming,no,january,
1515,24-dec-2005,usa,surfing,no,december,
1516,21-dec-2005,usa,swimming,no,december,
1517,20-dec-2005,atlantic_ocean,other_activities,no,december,
1518,11-dec-2005,australia,fishing,no,december,australia
1519,reported_06-dec-2005,australia,fishing,no,december,australia
1520,reported_29-nov-2005,usa,surfing,no,november,
1521,27-nov-2005,usa,surfing,no,november,
1522,25-nov-2005,australia,fishing,no,november,australia
1523,25-nov-2005,australia,surfing,no,november,australia
1524,25-nov-2005,south_africa,surfing,no,november,
1525,24-nov-2005-,new_caledonia,fishing,no,november,
1526,21-nov-2005,usa,surfing,no,november,
1527,20-nov-2005,usa,surfing,no,november,
1528,reported__16-nov-2005,new_caledonia,other_activities,no,november,
1529,15-nov-2005,south_africa,fishing,no,november,
1530,12-nov-2005,usa,surfing,no,november,
1531,02-nov-2005,usa,surfing,no,november,
1532,02-nov-2005,usa,surfing,no,november,
1533,29-oct-2005,usa,other_activities,no,october,
1534,25-oct-2005,st._maartin,other_activities,no,october,
1535,22-oct-2005,south_africa,surfing,no,october,
1536,21-oct-2005,usa,surfing,no,october,
1537,19-oct-2005,usa,surfing,no,october,
1538,15-oct-2005,usa,other_activities,no,october,
1539,13-oct-2005,usa,surfing,no,october,
1540,11-oct-2005,grand_cayman,swimming,no,october,
1541,06-oct-2005,usa,surfing,no,october,
1542,03-oct-2005,bahamas,swimming,no,october,
1543,01-oct-2005,south_africa,surfing,no,october,
1544,reported______27-sep-2005,australia,surfing,no,september,australia
1545,24-sep-2005,australia,surfing,no,september,australia
1546,23-sep-2005,australia,surfing,no,september,australia
1547,22-sep-2005,usa,surfing,no,september,
1548,20-sep-2005,usa,surfing,no,september,
1549,11-sep-2005,usa,surfing,yes,september,
1550,07-sep-2005,australia,other_activities,no,september,australia
1551,05-sep-2005,usa,other_activities,no,september,
1552,04-sep-2005,australia,surfing,no,september,australia
1553,02-sep-2005,usa,surfing,no,september,
1554,02-sep-2005,thailand,other_activities,yes,september,
1555,24-aug-2005,australia,swimming,yes,august,australia
1556,24-aug-2005,usa,surfing,no,august,
1557,22-aug-2005,usa,other_activities,no,august,
1558,21-aug-2005,usa,swimming,no,august,
1559,19-aug-2005,usa,other_activities,no,august,
1560,14-aug-2005,south_africa,other_activities,no,august,
1561,12-aug-2005,usa,surfing,no,august,
1562,6-aug-2005,usa,swimming,no,august,
1563,1-aug-2005,seychelles,fishing,no,august,
1564,27-jul-2005,usa,other_activities,no,july,
1565,23-jul-2005,usa,surfing,no,july,
1566,22-jul-2005,usa,surfing,no,july,
1567,17-jul-2005,liberia,swimming,no,july,
1568,17-jul-2005,china,swimming,no,july,
1569,reported______15-jul-2005,australia,other_activities,no,july,australia
1570,15-jul-2005,usa,swimming,no,july,
1571,13-jul-2005,usa,boat,no,july,
1572,1-jul-2005,usa,other_activities,no,july,
1573,27-jun-2005,usa,fishing,no,june,
1574,25-jun-2005,usa,swimming,yes,june,
1575,22-jun-2005,vanuatu,swimming,yes,june,
1576,20-jun-2005,mexico,surfing,no,june,
1577,18-jun-2005,usa,swimming,no,june,
1578,16-jun-2005,usa,swimming,no,june,
1579,13-jun-2005,south_korea,swimming,no,june,
1580,07-jun-2005,usa,other_activities,no,june,
1581,05-jun-2005,usa,surfing,no,june,
1582,04-jun-2005,south_africa,swimming,yes,june,
1583,02-jun-2005,usa,other_activities,no,june,
1584,28-may-2005,usa,swimming,no,may,
1585,27-may-2005,usa,other_activities,no,may,
1586,25-may-2005,south_africa,surfing,no,may,
1587,15-may-2005,australia,fishing,no,may,australia
1588,14-may-2005,usa,other_activities,no,may,
1589,03-may-2005,madagascar,fishing,no,may,
1590,02-may-2005,usa,other_activities,no,may,
1591,02-may-2005,usa,surfing,no,may,
1592,25-apr-2005,australia,fishing,no,april,australia
1593,17-apr-2005,australia,other_activities,no,april,australia
1594,16-apr-2005,australia,fishing,no,april,australia
1595,16-apr-2005,australia,surfing,no,april,australia
1596,13-apr-2005,usa,other_activities,no,april,
1597,09-apr-2005,usa,surfing,no,april,
1598,07-apr-2005,usa,surfing,no,april,
1599,06-apr-2005,usa,other_activities,no,april,
1600,06-apr-2005,honduras,swimming,no,april,
1601,28-mar-2005,south_africa,surfing,no,march,
1602,reported____27-mar-2005,australia,surfing,no,march,australia
1603,25-mar-2005,venezuela,surfing,no,march,
1604,19-mar-2005,australia,swimming,yes,march,australia
1605,12-mar-2005,usa,swimming,no,march,
1606,10-mar-2005,south_africa,other_activities,no,march,
1607,09-mar-2005,new_zealand,fishing,no,march,
1608,05-mar-2005,solomon_islands,swimming,no,march,
1609,26-feb-2005,australia,swimming,no,february,australia
1610,22-feb-2005,usa,fishing,no,february,
1611,16-feb-2005,usa,surfing,no,february,
1612,13-feb-2005,usa,fishing,no,february,
1613,04-feb-2005,brazil,surfing,no,february,
1614,20-jan-2005,cuba,swimming,no,january,
1615,19-jan-2005,australia,fishing,no,january,australia
1616,14-jan-2005,australia,boat,no,january,australia
1617,08-jan-2005,new_zealand,fishing,no,january,
1618,26-dec-2004,sri_lanka,other_activities,no,december,
1619,16-dec-2004,australia,surfing,yes,december,australia
1620,11-dec-2004,australia,fishing,yes,december,australia
1621,27-nov-2004,south_africa,surfing,no,november,
1622,26-nov-2004,south_africa,other_activities,no,november,
1623,15-nov-2004,south_africa,swimming,yes,november,
1624,11-nov-2004,usa,surfing,no,november,
1625,11-nov-2004,vanuatu,swimming,no,november,
1626,nov-2004,new_caledonia,swimming,no,november,
1627,31-oct-2004,cuba,swimming,no,october,
1628,30-oct-2004,new_zealand,other_activities,no,october,
1629,30-oct-2004,south_africa,other_activities,no,october,
1630,21-oct-2004,australia,surfing,no,october,australia
1631,10-oct-2004,usa,surfing,no,october,
1632,09-oct-2004,usa,fishing,no,october,
1633,09-oct-2004,south_africa,surfing,no,october,
1634,06-oct-2004,reunion,other_activities,no,october,
1635,02-oct-2004,usa,surfing,no,october,
1636,01-oct-2004,usa,surfing,no,october,
1637,25-sep-2004,australia,fishing,no,september,australia
1638,20-sep-2004,usa,surfing,no,september,
1639,10-sep-2004,usa,surfing,no,september,
1640,08-sep-2004,brazil,swimming,yes,september,
1641,04-sep-2004,usa,other_activities,no,september,
1642,29-aug-2004,usa,other_activities,no,august,
1643,21-aug-2004,brazil,swimming,no,august,
1644,20-aug-2004,usa,surfing,no,august,
1645,15-aug-2004,usa,swimming,yes,august,
1646,06-aug-2004,usa,swimming,no,august,
1647,03-aug-2004,australia,fishing,no,august,australia
1648,aug-2004,south_africa,fishing,no,august,
1649,31-jul-2004,usa,surfing,no,july,
1650,30-jul-2004,russia,swimming,no,july,
1651,28-jul-2004,usa,surfing,no,july,
1652,27-jul-2004,usa,swimming,no,july,
1653,27-jul-2004,usa,swimming,no,july,
1654,25-jul-2004,usa,fishing,no,july,
1655,"19-jul-2004_reported_to_have_happened__""on_the_weekend""",australia,fishing,no,july,australia
1656,15-jul-2004,japan,fishing,no,july,
1657,10-jul-2004,australia,surfing,yes,july,australia
1658,02-jul-2004,egypt,swimming,no,july,
1659,02-jul-2004,usa,other_activities,no,july,
1660,26-jun-2004,usa,surfing,no,june,
1661,26-jun-2004,australia,fishing,no,june,australia
1662,14-jun-2004,usa,swimming,no,june,
1663,10-jun-2004,australia,other_activities,no,june,australia
1664,10-jun-2004,usa,swimming,no,june,
1665,02-jun-2004,south_africa,swimming,yes,june,
1666,29-may-2004,usa,other_activities,no,may,
1667,23-may-2004,brazil,swimming,no,may,
1668,28-may-2004,usa,surfing,no,may,
1669,23-may-2004,usa,swimming,no,may,
1670,22-may-2004,usa,swimming,no,may,
1671,22-may-2004,usa,other_activities,no,may,
1672,22-may-2004,brazil,other_activities,no,may,
1673,18-may-2004,bahamas,swimming,no,may,
1674,04-may-2004,usa,surfing,no,may,
1675,01-may-2004,brazil,swimming,yes,may,
1676,26-apr-2004,australia,swimming,no,april,australia
1677,22-apr-2004,new_zealand,fishing,no,april,
1678,13-apr-2004,tonga,fishing,yes,april,
1679,13-apr-2004,tonga,fishing,yes,april,
1680,07-apr-2004,usa,surfing,yes,april,
1681,05-apr-2004,south_africa,surfing,no,april,
1682,04-apr-2004,usa,surfing,no,april,
1683,31-mar-2004,usa,other_activities,no,march,
1684,31-mar-2004,usa,surfing,no,march,
